ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Decision Tree,0.9087157076960428,0.853546894900703,0.6050119331742243,0.5463362068965517,0.5741789354473387,0.524059833287953
Random Forest,0.9116290361738286,0.9435257854144063,0.7808988764044944,0.2995689655172414,0.43302180685358255,0.44919506475948223
Logistic Regression,0.9166059723233796,0.9424372906740884,0.7117750439367311,0.4364224137931034,0.5410821643286573,0.516171819793367
kNN,0.9082301529497452,0.8993419500919855,0.641914191419142,0.4191810344827586,0.5071707953063885,0.4717151448109321
Naive Bayes,0.8203447438698713,0.8393286534742205,0.3495092693565976,0.6907327586206896,0.4641564083997103,0.400918301572476
